"","feature","frequency","rank","docfreq","group"
"1","了_。_”",6,1,1,"吴树文1"
"2","了_。_这",4,1,1,"吴树文2"
"3","了_。_”",5,1,1,"吴树文3"
"4","了_。_”",3,1,1,"曹曼1"
"5","了_。_”",4,1,1,"曹曼2"
"6","了_。_”",1,1,1,"曹曼3"
"7","吧_。_”",4,1,1,"杨爽1"
"8","了_。_春琴",4,1,1,"杨爽2"
"9","了_。_”",5,1,1,"杨爽3"
"10","的_。_不过",2,1,1,"林少华1"
"11","的_。_佐",1,1,1,"林少华2"
"12","眼_。_佐助",2,1,1,"林少华3"
"13","啊_。_”",5,1,1,"谭晶华徐建雄1"
"14","了_。_我",4,1,1,"谭晶华徐建雄2"
"15","了_。_”",4,1,1,"谭晶华徐建雄3"
"16","吧_。_”",2,1,1,"郑民钦1"
"17","的_。_不过",3,1,1,"郑民钦2"
"18","了_。_”",3,1,1,"郑民钦3"
