特徴語,chi2,p値,当該訳本における頻度,参照コーパスにおける頻度,ランク
呉樹文訳本,,,,,
门徒,141.2279268,0,33,1,1
姑娘,119.1794803,0,34,6,2
百灵鸟,115.2690059,0,27,0,3
味,86.46918015,0,46,32,4
使,85.04614255,0,55,48,5
小姑,79.53441908,0,19,0,6
众,76.48293979,0,24,6,7
课,73.47357856,0,26,9,8
学艺,71.43042254,0,42,33,9
线,70.89441018,0,43,35,10
同,65.92018451,4.44E-16,55,61,11
这,60.26254571,8.33E-15,282,738,12
哪,59.4939474,1.22E-14,27,15,13
遂,57.03873007,4.27E-14,29,19,14
三,45.25563025,1.73E-11,54,78,15
师傅,44.15218517,3.04E-11,114,244,16
便,43.96107104,3.35E-11,67,112,17
形像,43.84193249,3.56E-11,11,0,18
当然,42.98984799,5.50E-11,34,36,19
作,41.8449602,9.88E-11,25,20,20
曹曼訳本,,,,,
跟,78.23224194,0,41,45,1
师傅,61.35713321,4.77E-15,103,255,2
但是,61.26053035,5.00E-15,73,151,3
线,54.64720138,1.44E-13,34,44,4
来讲,53.15401611,3.08E-13,10,0,5
居然,47.83154605,4.64E-12,15,7,6
愈发,46.4331749,9.48E-12,16,9,7
味,41.23849417,1.35E-10,31,47,8
侍奉,37.00469465,1.18E-09,14,9,9
依然,36.42672862,1.59E-09,20,23,10
古琴,32.46525293,1.21E-08,13,9,11
之前,31.58662179,1.91E-08,23,34,12
传授,26.53486648,2.59E-07,10,6,13
琴师,25.30520495,4.89E-07,16,21,14
就算,24.21496016,8.62E-07,13,13,15
特意,23.60039034,1.19E-06,6,1,16
伤口,23.38495276,1.33E-06,5,0,17
也许,23.0780678,1.56E-06,26,52,18
便,22.9193252,1.69E-06,48,131,19
三,22.63905951,1.95E-06,38,94,20
楊爽訳本,,,,,
时候,51.67634398,6.54E-13,110,234,1
的,44.43421139,2.63E-11,1609,6412,2
阿,37.49376275,9.17E-10,13,4,3
阿照,37.36962706,9.77E-10,9,0,4
师父,36.88786493,1.25E-09,85,187,5
鸟儿,34.85338371,3.55E-09,20,17,6
和,33.46296062,7.26E-09,108,270,7
愿,31.59531839,1.90E-08,19,17,8
墓,30.97391797,2.62E-08,35,53,9
本来,30.11528807,4.07E-08,18,16,10
训练,28.87908734,7.70E-08,15,10,11
老师,28.42387636,9.75E-08,18,17,12
可是,27.0535833,1.98E-07,21,24,13
但,25.8183093,3.75E-07,95,248,14
可能,25.78622271,3.81E-07,40,73,15
以前,25.57835194,4.25E-07,20,23,16
不但,24.95867347,5.86E-07,10,4,17
没有,24.58313205,7.12E-07,107,294,18
茅厕,23.15018252,1.50E-06,6,0,19
行凶,23.15018252,1.50E-06,6,0,20
林少華訳本,,,,,
想必,123.3827928,0,32,11,1
辉,98.51961031,0,18,0,2
而,94.19594056,0,166,409,3
即,81.87190942,0,31,22,4
之,73.42526617,0,197,577,5
但,73.23556379,0,106,237,6
——,73.06571791,0,61,97,7
以,68.16875766,1.11E-16,84,172,8
佣工,63.48722814,1.67E-15,12,0,9
师父,63.24215276,1.78E-15,86,186,10
若,57.85844006,2.82E-14,36,45,11
因,55.07191551,1.16E-13,38,52,12
门生,51.20567328,8.32E-13,12,2,13
习,50.78996987,1.03E-12,20,15,14
女,50.23879206,1.36E-12,69,150,15
较之,46.00002173,1.18E-11,9,0,16
以致,45.41793416,1.59E-11,10,1,17
故,43.4075754,4.44E-11,13,5,18
无论,40.41292455,2.06E-10,21,22,19
向导,40.18040243,2.32E-10,8,0,20
譚晶華・徐建雄訳本,,,,,
了,152.6612707,0,605,1470,1
可,98.06134479,0,111,150,2
就,76.14511786,0,316,777,3
反倒,70.94973816,0,20,2,4
师父,61.2021404,5.11E-15,101,171,5
或许,58.62247569,1.91E-14,28,16,6
老婆婆,55.76295856,8.17E-14,14,0,7
将,54.70544611,1.40E-13,74,112,8
由于,48.0896635,4.07E-12,46,55,9
即便,47.16333051,6.53E-12,29,23,10
依旧,45.60124893,1.45E-11,16,4,11
吧,42.50948923,7.03E-11,86,161,12
事儿,34.36724643,4.56E-09,17,9,13
仅,32.91171048,9.64E-09,19,14,14
她,30.43675483,3.45E-08,284,851,15
也,29.95654014,4.42E-08,382,1211,16
与,27.09895425,1.93E-07,66,134,17
因此,25.6278792,4.14E-07,44,76,18
井,24.896385,6.05E-07,25,31,19
他,22.76858221,1.83E-06,250,772,20
鄭民欽訳本,,,,,
师傅,73.99457084,0,121,237,1
父母亲,54.00375791,2.00E-13,18,6,2
她,53.89933103,2.11E-13,283,852,3
坟墓,46.41338603,9.58E-12,19,11,4
说道,44.53782167,2.49E-11,40,54,5
逐渐,41.440953,1.21E-10,19,13,6
进行,39.09086558,4.05E-10,13,4,7
以后,38.47379604,5.55E-10,33,43,8
大夫,33.23535484,8.17E-09,9,1,9
小女,33.23535484,8.17E-09,9,1,10
他,31.75643897,1.75E-08,239,783,11
大概,28.41184189,9.81E-08,31,48,12
经常,27.63062791,1.47E-07,22,27,13
音乐,26.80729639,2.25E-07,18,19,14
成为,26.77589076,2.28E-07,23,30,15
齐,23.7437054,1.10E-06,7,1,16
但是,22.16017294,2.51E-06,64,160,17
具有,20.67223352,5.45E-06,15,17,18
听见,19.28697053,1.12E-05,9,5,19
嗬,19.14356381,1.21E-05,5,0,20
